Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;16/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;17/06/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/06/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;19/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;21/06/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;23/06/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;24/06/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;25/06/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;27/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;28/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;30/06/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;01/07/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;09/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;10/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;11/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;12/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;15/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;16/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;17/07/23;529,8000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/07/23;529,8000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;19/07/23;529,8000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;21/07/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;22/07/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;23/07/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;24/07/23;192,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;25/07/23;770,7000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/07/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;28/07/23;385,2000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;29/07/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;31/07/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;02/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;03/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/08/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/08/23;240,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/08/23;240,9000
